__run_id,__done,msg_type,msg_interval,msg_size,exec_time,cli
run_109_repetition_0,DONE,Imu,0.5,1,120,2
run_110_repetition_0,DONE,Imu,0.5,2,120,1
run_111_repetition_0,DONE,Imu,0.5,2,120,2
run_112_repetition_0,DONE,Imu,0.5,3,120,1
run_113_repetition_0,DONE,Imu,0.5,3,120,2
run_114_repetition_0,DONE,Imu,1.0,1,120,1
run_115_repetition_0,DONE,Imu,1.0,1,120,2
run_116_repetition_0,DONE,Imu,1.0,2,120,1
run_117_repetition_0,DONE,Imu,1.0,2,120,2
run_118_repetition_0,DONE,Imu,1.0,3,120,1
run_119_repetition_0,DONE,Imu,1.0,3,120,2
run_120_repetition_0,DONE,String,0.1,1,120,1
run_121_repetition_0,DONE,String,0.1,1,120,2
run_122_repetition_0,DONE,String,0.1,2,120,1
run_123_repetition_0,DONE,String,0.1,2,120,2
run_124_repetition_0,DONE,String,0.1,3,120,1
run_125_repetition_0,DONE,String,0.1,3,120,2
run_126_repetition_0,DONE,String,0.2,1,120,1
run_127_repetition_0,DONE,String,0.2,1,120,2
run_128_repetition_0,DONE,String,0.2,2,120,1
run_129_repetition_0,DONE,String,0.2,2,120,2
run_130_repetition_0,DONE,String,0.2,3,120,1
run_131_repetition_0,DONE,String,0.2,3,120,2
run_132_repetition_0,DONE,String,0.5,1,120,1
run_133_repetition_0,DONE,String,0.5,1,120,2
run_134_repetition_0,DONE,String,0.5,2,120,1
run_135_repetition_0,DONE,String,0.5,2,120,2
run_136_repetition_0,DONE,String,0.5,3,120,1
run_137_repetition_0,DONE,String,0.5,3,120,2
run_138_repetition_0,DONE,String,1.0,1,120,1
run_139_repetition_0,DONE,String,1.0,1,120,2
run_140_repetition_0,DONE,String,1.0,2,120,1
run_141_repetition_0,DONE,String,1.0,2,120,2
run_142_repetition_0,DONE,String,1.0,3,120,1
run_143_repetition_0,DONE,String,1.0,3,120,2
run_144_repetition_0,DONE,PoseStamped,0.1,1,120,1
run_145_repetition_0,DONE,PoseStamped,0.1,1,120,2
run_146_repetition_0,DONE,PoseStamped,0.1,2,120,1
run_147_repetition_0,DONE,PoseStamped,0.1,2,120,2
run_148_repetition_0,DONE,PoseStamped,0.1,3,120,1
run_149_repetition_0,DONE,PoseStamped,0.1,3,120,2
run_150_repetition_0,DONE,PoseStamped,0.2,1,120,1
run_151_repetition_0,DONE,PoseStamped,0.2,1,120,2
run_152_repetition_0,DONE,PoseStamped,0.2,2,120,1
run_153_repetition_0,DONE,PoseStamped,0.2,2,120,2
run_154_repetition_0,DONE,PoseStamped,0.2,3,120,1
run_155_repetition_0,DONE,PoseStamped,0.2,3,120,2
run_156_repetition_0,DONE,PoseStamped,0.5,1,120,1
run_157_repetition_0,DONE,PoseStamped,0.5,1,120,2
run_158_repetition_0,DONE,PoseStamped,0.5,2,120,1
run_159_repetition_0,DONE,PoseStamped,0.5,2,120,2
run_160_repetition_0,DONE,PoseStamped,0.5,3,120,1
run_161_repetition_0,DONE,PoseStamped,0.5,3,120,2
run_162_repetition_0,DONE,PoseStamped,1.0,1,120,1
run_163_repetition_0,DONE,PoseStamped,1.0,1,120,2
run_164_repetition_0,DONE,PoseStamped,1.0,2,120,1
run_165_repetition_0,DONE,PoseStamped,1.0,2,120,2
run_166_repetition_0,DONE,PoseStamped,1.0,3,120,1
run_167_repetition_0,DONE,PoseStamped,1.0,3,120,2
run_168_repetition_0,DONE,LaserScan,0.1,1,120,1
run_169_repetition_0,DONE,LaserScan,0.1,1,120,2
run_170_repetition_0,DONE,LaserScan,0.1,2,120,1
run_171_repetition_0,DONE,LaserScan,0.1,2,120,2
run_172_repetition_0,DONE,LaserScan,0.1,3,120,1
run_173_repetition_0,DONE,LaserScan,0.1,3,120,2
run_174_repetition_0,DONE,LaserScan,0.2,1,120,1
run_175_repetition_0,DONE,LaserScan,0.2,1,120,2
run_176_repetition_0,DONE,LaserScan,0.2,2,120,1
run_177_repetition_0,DONE,LaserScan,0.2,2,120,2
run_178_repetition_0,DONE,LaserScan,0.2,3,120,1
run_179_repetition_0,DONE,LaserScan,0.2,3,120,2
run_180_repetition_0,DONE,LaserScan,0.5,1,120,1
run_181_repetition_0,DONE,LaserScan,0.5,1,120,2
run_182_repetition_0,DONE,LaserScan,0.5,2,120,1
run_183_repetition_0,DONE,LaserScan,0.5,2,120,2
run_184_repetition_0,DONE,LaserScan,0.5,3,120,1
run_185_repetition_0,DONE,LaserScan,0.5,3,120,2
run_186_repetition_0,DONE,LaserScan,1.0,1,120,1
run_187_repetition_0,DONE,LaserScan,1.0,1,120,2
run_188_repetition_0,DONE,LaserScan,1.0,2,120,1
run_189_repetition_0,DONE,LaserScan,1.0,2,120,2
run_190_repetition_0,DONE,LaserScan,1.0,3,120,1
run_191_repetition_0,DONE,LaserScan,1.0,3,120,2
run_192_repetition_0,DONE,Float64,0.1,1,120,1
run_193_repetition_0,DONE,Float64,0.1,1,120,2
run_194_repetition_0,DONE,Float64,0.1,2,120,1
run_195_repetition_0,DONE,Float64,0.1,2,120,2
run_196_repetition_0,DONE,Float64,0.1,3,120,1
run_197_repetition_0,DONE,Float64,0.1,3,120,2
run_198_repetition_0,DONE,Float64,0.2,1,120,1
run_199_repetition_0,DONE,Float64,0.2,1,120,2
run_200_repetition_0,DONE,Float64,0.2,2,120,1
run_201_repetition_0,DONE,Float64,0.2,2,120,2
run_202_repetition_0,DONE,Float64,0.2,3,120,1
run_203_repetition_0,DONE,Float64,0.2,3,120,2
run_204_repetition_0,DONE,Float64,0.5,1,120,1
run_205_repetition_0,DONE,Float64,0.5,1,120,2
