exec,label,timestamp,cpu
1485,talker,1742779849,52.0
1485,talker,1742779850,31.4
1485,talker,1742779851,26.5
1485,talker,1742779852,23.0
1485,talker,1742779853,20.2
1485,talker,1742779854,18.2
1485,talker,1742779855,16.6
1485,talker,1742779856,15.1
1485,talker,1742779857,14.0
1485,talker,1742779858,13.0
1485,talker,1742779860,12.2
1485,talker,1742779861,11.6
1485,talker,1742779862,10.3
1485,talker,1742779863, 9.8
1485,talker,1742779864, 9.4
1485,talker,1742779865, 9.0
1485,talker,1742779866, 8.7
1485,talker,1742779867, 8.4
1485,talker,1742779868, 8.0
1485,talker,1742779869, 7.8
1485,talker,1742779870, 7.6
1485,talker,1742779871, 7.3
1485,talker,1742779873, 7.1
1485,talker,1742779874, 6.9
1485,talker,1742779875, 6.5
1485,talker,1742779876, 6.4
1485,talker,1742779877, 6.2
1485,talker,1742779878, 6.1
1485,talker,1742779879, 6.0
1485,talker,1742779880, 5.8
1485,talker,1742779881, 5.7
1485,talker,1742779882, 5.6
1485,talker,1742779883, 5.5
1485,talker,1742779885, 5.4
1485,talker,1742779886, 5.3
1485,talker,1742779887, 5.1
1485,talker,1742779888, 5.0
1485,talker,1742779889, 5.0
1485,talker,1742779890, 4.9
1485,talker,1742779891, 4.8
1485,talker,1742779892, 4.7
1485,talker,1742779893, 4.7
1485,talker,1742779894, 4.6
1485,talker,1742779895, 4.6
1485,talker,1742779896, 4.5
1485,talker,1742779898, 4.4
1485,talker,1742779899, 4.3
1485,talker,1742779900, 4.2
1485,talker,1742779901, 4.2
1485,talker,1742779902, 4.2
1485,talker,1742779903, 4.1
1485,talker,1742779904, 4.1
1485,talker,1742779905, 4.0
1485,talker,1742779906, 4.0
1485,talker,1742779907, 4.0
1485,talker,1742779908, 3.9
1485,talker,1742779910, 3.9
1485,talker,1742779911, 3.8
1485,talker,1742779912, 3.8
1485,talker,1742779913, 3.7
1485,talker,1742779914, 3.7
1485,talker,1742779915, 3.7
1485,talker,1742779916, 3.7
1485,talker,1742779917, 3.6
1485,talker,1742779918, 3.6
1485,talker,1742779919, 3.6
1485,talker,1742779920, 3.6
1485,talker,1742779921, 3.5
1485,talker,1742779923, 3.5
1485,talker,1742779924, 3.5
1485,talker,1742779925, 3.4
1485,talker,1742779926, 3.4
1485,talker,1742779927, 3.4
1485,talker,1742779928, 3.3
1485,talker,1742779929, 3.3
1485,talker,1742779930, 3.3
1485,talker,1742779931, 3.3
1485,talker,1742779932, 3.3
1485,talker,1742779933, 3.2
1485,talker,1742779934, 3.2
1485,talker,1742779936, 3.2
1485,talker,1742779937, 3.2
1485,talker,1742779938, 3.1
1485,talker,1742779939, 3.1
1485,talker,1742779940, 3.1
1485,talker,1742779941, 3.1
1485,talker,1742779942, 3.1
1485,talker,1742779943, 3.1
1485,talker,1742779944, 3.1
1485,talker,1742779945, 3.0
1485,talker,1742779946, 3.0
1485,talker,1742779947, 3.0
1485,talker,1742779949, 3.0
1485,talker,1742779950, 3.0
1485,talker,1742779951, 3.0
1485,talker,1742779952, 2.9
1485,talker,1742779953, 2.9
1485,talker,1742779954, 2.9
1485,talker,1742779955, 2.9
1485,talker,1742779956, 2.9
1485,talker,1742779957, 2.9
1485,talker,1742779958, 2.9
1485,talker,1742779959, 2.9
1485,talker,1742779961, 2.8
1485,talker,1742779962, 2.8
1485,talker,1742779963, 2.8
1485,talker,1742779964, 2.8
1485,talker,1742779965, 2.8
1485,talker,1742779966, 2.9
1485,talker,1742779967,
1485,talker,1742779968,
1485,talker,1742779969,
1485,talker,1742779970,
