id,__run_id,__done,msg_type,msg_interval,msg_size,exec_time,cli
328,run_327_repetition_0,DONE,PoseWithCovarianceStamped,0.5,2,120,2
329,run_328_repetition_0,DONE,PoseWithCovarianceStamped,0.5,3,120,1
330,run_329_repetition_0,DONE,PoseWithCovarianceStamped,0.5,3,120,2
331,run_330_repetition_0,DONE,PoseWithCovarianceStamped,1.0,1,120,1
332,run_331_repetition_0,DONE,PoseWithCovarianceStamped,1.0,1,120,2
333,run_332_repetition_0,DONE,PoseWithCovarianceStamped,1.0,2,120,1
334,run_333_repetition_0,DONE,PoseWithCovarianceStamped,1.0,2,120,2
335,run_334_repetition_0,DONE,PoseWithCovarianceStamped,1.0,3,120,1
336,run_335_repetition_0,DONE,PoseWithCovarianceStamped,1.0,3,120,2
338,run_337_repetition_0,DONE,Int32,0.1,1,120,2
340,run_339_repetition_0,DONE,Int32,0.1,2,120,2
342,run_341_repetition_0,DONE,Int32,0.1,3,120,2
344,run_343_repetition_0,DONE,Int32,0.2,1,120,2
346,run_345_repetition_0,DONE,Int32,0.2,2,120,2
348,run_347_repetition_0,DONE,Int32,0.2,3,120,2
350,run_349_repetition_0,DONE,Int32,0.5,1,120,2
352,run_351_repetition_0,DONE,Int32,0.5,2,120,2
354,run_353_repetition_0,DONE,Int32,0.5,3,120,2
356,run_355_repetition_0,DONE,Int32,1.0,1,120,2
358,run_357_repetition_0,DONE,Int32,1.0,2,120,2
360,run_359_repetition_0,DONE,Int32,1.0,3,120,2
362,run_1_repetition_1,DONE,Image,0.1,1,120,2
364,run_3_repetition_1,DONE,Image,0.1,2,120,2
366,run_5_repetition_1,DONE,Image,0.1,3,120,2
368,run_7_repetition_1,DONE,Image,0.2,1,120,2
370,run_9_repetition_1,DONE,Image,0.2,2,120,2
372,run_11_repetition_1,DONE,Image,0.2,3,120,2
374,run_13_repetition_1,DONE,Image,0.5,1,120,2
376,run_15_repetition_1,DONE,Image,0.5,2,120,2
378,run_17_repetition_1,DONE,Image,0.5,3,120,2
380,run_19_repetition_1,DONE,Image,1.0,1,120,2
382,run_21_repetition_1,DONE,Image,1.0,2,120,2
384,run_23_repetition_1,DONE,Image,1.0,3,120,2
386,run_25_repetition_1,DONE,Twist,0.1,1,120,2
388,run_27_repetition_1,DONE,Twist,0.1,2,120,2
390,run_29_repetition_1,DONE,Twist,0.1,3,120,2
392,run_31_repetition_1,DONE,Twist,0.2,1,120,2
394,run_33_repetition_1,DONE,Twist,0.2,2,120,2
396,run_35_repetition_1,DONE,Twist,0.2,3,120,2
398,run_37_repetition_1,DONE,Twist,0.5,1,120,2
400,run_39_repetition_1,DONE,Twist,0.5,2,120,2
402,run_41_repetition_1,DONE,Twist,0.5,3,120,2
404,run_43_repetition_1,DONE,Twist,1.0,1,120,2
406,run_45_repetition_1,DONE,Twist,1.0,2,120,2
408,run_47_repetition_1,DONE,Twist,1.0,3,120,2
409,run_48_repetition_1,DONE,JointState,0.1,1,120,1
410,run_49_repetition_1,DONE,JointState,0.1,1,120,2
411,run_50_repetition_1,DONE,JointState,0.1,2,120,1
412,run_51_repetition_1,DONE,JointState,0.1,2,120,2
413,run_52_repetition_1,DONE,JointState,0.1,3,120,1
414,run_53_repetition_1,DONE,JointState,0.1,3,120,2
415,run_54_repetition_1,DONE,JointState,0.2,1,120,1
416,run_55_repetition_1,DONE,JointState,0.2,1,120,2
417,run_56_repetition_1,DONE,JointState,0.2,2,120,1
418,run_57_repetition_1,DONE,JointState,0.2,2,120,2
419,run_58_repetition_1,DONE,JointState,0.2,3,120,1
420,run_59_repetition_1,DONE,JointState,0.2,3,120,2
421,run_60_repetition_1,DONE,JointState,0.5,1,120,1
422,run_61_repetition_1,DONE,JointState,0.5,1,120,2
423,run_62_repetition_1,DONE,JointState,0.5,2,120,1
424,run_63_repetition_1,DONE,JointState,0.5,2,120,2
425,run_64_repetition_1,DONE,JointState,0.5,3,120,1
426,run_65_repetition_1,DONE,JointState,0.5,3,120,2
427,run_66_repetition_1,DONE,JointState,1.0,1,120,1
428,run_67_repetition_1,DONE,JointState,1.0,1,120,2
429,run_68_repetition_1,DONE,JointState,1.0,2,120,1
430,run_69_repetition_1,DONE,JointState,1.0,2,120,2
431,run_70_repetition_1,DONE,JointState,1.0,3,120,1
432,run_71_repetition_1,DONE,JointState,1.0,3,120,2
433,run_72_repetition_1,DONE,PointCloud2,0.1,1,120,1
434,run_73_repetition_1,DONE,PointCloud2,0.1,1,120,2
435,run_74_repetition_1,DONE,PointCloud2,0.1,2,120,1
436,run_75_repetition_1,DONE,PointCloud2,0.1,2,120,2
437,run_76_repetition_1,DONE,PointCloud2,0.1,3,120,1
438,run_77_repetition_1,DONE,PointCloud2,0.1,3,120,2
439,run_78_repetition_1,DONE,PointCloud2,0.2,1,120,1
440,run_79_repetition_1,DONE,PointCloud2,0.2,1,120,2
