exec,label,timestamp,cpu
237,listener,1742605113,14.2
237,listener,1742605114,11.6
237,listener,1742605115, 9.8
237,listener,1742605116, 8.5
237,listener,1742605117, 7.6
237,listener,1742605117, 6.7
237,listener,1742605118, 6.2
237,listener,1742605119, 6.3
237,listener,1742605120, 5.8
237,listener,1742605121, 5.3
237,listener,1742605122, 5.0
237,listener,1742605123, 4.7
237,listener,1742605124, 4.5
237,listener,1742605125, 4.3
237,listener,1742605126, 4.1
237,listener,1742605127, 3.8
237,listener,1742605128, 3.7
237,listener,1742605129, 3.6
237,listener,1742605130, 3.4
237,listener,1742605131, 3.3
237,listener,1742605131, 3.2
237,listener,1742605132, 3.3
237,listener,1742605133, 3.2
237,listener,1742605134, 3.1
237,listener,1742605135, 3.0
237,listener,1742605136, 2.9
237,listener,1742605137, 2.8
237,listener,1742605138, 2.8
237,listener,1742605139, 2.7
237,listener,1742605140, 2.6
237,listener,1742605141, 2.6
237,listener,1742605142, 2.6
237,listener,1742605143, 2.5
237,listener,1742605144, 2.5
237,listener,1742605144, 2.4
237,listener,1742605145, 2.4
237,listener,1742605146, 2.4
237,listener,1742605147, 2.4
237,listener,1742605148, 2.4
237,listener,1742605149, 2.3
237,listener,1742605150, 2.3
237,listener,1742605151, 2.3
237,listener,1742605152, 2.2
237,listener,1742605153, 2.2
237,listener,1742605154, 2.2
237,listener,1742605155, 2.1
237,listener,1742605156, 2.1
237,listener,1742605157, 2.1
237,listener,1742605158, 2.1
237,listener,1742605158, 2.1
237,listener,1742605159, 2.0
237,listener,1742605160, 2.0
237,listener,1742605161, 2.0
237,listener,1742605162, 2.0
237,listener,1742605163, 2.0
237,listener,1742605164, 2.0
237,listener,1742605165, 2.0
237,listener,1742605166, 2.0
237,listener,1742605167, 1.9
237,listener,1742605168, 1.9
237,listener,1742605169, 1.9
237,listener,1742605170, 1.9
237,listener,1742605171, 1.9
237,listener,1742605171, 1.9
237,listener,1742605172, 1.8
237,listener,1742605173, 1.8
237,listener,1742605174, 1.8
237,listener,1742605175, 1.8
237,listener,1742605176, 1.8
237,listener,1742605177, 1.8
237,listener,1742605178, 1.8
237,listener,1742605179, 1.8
237,listener,1742605180, 1.8
237,listener,1742605181, 1.7
237,listener,1742605182, 1.7
237,listener,1742605183, 1.7
237,listener,1742605184, 1.7
237,listener,1742605184, 1.7
237,listener,1742605185, 1.7
237,listener,1742605186, 1.7
237,listener,1742605187, 1.7
237,listener,1742605188, 1.7
237,listener,1742605189, 1.7
237,listener,1742605190, 1.7
237,listener,1742605191, 1.7
237,listener,1742605192, 1.7
237,listener,1742605193, 1.7
237,listener,1742605194, 1.6
237,listener,1742605195, 1.6
237,listener,1742605196, 1.6
237,listener,1742605197, 1.6
237,listener,1742605197, 1.6
237,listener,1742605198, 1.6
237,listener,1742605199, 1.6
237,listener,1742605200, 1.6
237,listener,1742605201, 1.6
237,listener,1742605202, 1.6
237,listener,1742605203, 1.6
237,listener,1742605204, 1.6
237,listener,1742605205, 1.6
237,listener,1742605206, 1.6
237,listener,1742605207, 1.6
237,listener,1742605208, 1.6
237,listener,1742605209, 1.6
237,listener,1742605210, 1.5
237,listener,1742605210, 1.5
237,listener,1742605211, 1.6
237,listener,1742605212, 1.6
237,listener,1742605213, 1.5
237,listener,1742605214, 1.5
237,listener,1742605215, 1.5
237,listener,1742605216, 1.5
237,listener,1742605217, 1.5
237,listener,1742605218, 1.5
237,listener,1742605219, 1.5
237,listener,1742605220, 1.5
237,listener,1742605221, 1.5
237,listener,1742605222, 1.5
237,listener,1742605222, 1.5
237,listener,1742605223, 1.5
237,listener,1742605224, 1.5
237,listener,1742605225, 1.5
237,listener,1742605226, 1.5
237,listener,1742605227, 1.5
237,listener,1742605228, 1.5
237,listener,1742605229, 1.5
237,listener,1742605230, 1.5
237,listener,1742605231, 1.5
237,listener,1742605232, 1.4
237,listener,1742605233, 1.4
237,listener,1742605234, 1.4
237,listener,1742605235, 1.4
237,listener,1742605235, 1.4
