exec,label,timestamp,cpu,mem
825,listener,1744242657,0.0,2308.0
825,listener,1744242658,0.0,2308.0
825,listener,1744242659,0.0,2308.0
825,listener,1744242660,0.0,2308.0
825,listener,1744242661,5.9,2308.0
825,listener,1744242662,11.8,2308.0
825,listener,1744242663,11.8,2308.0
825,listener,1744242664,11.8,2308.0
825,listener,1744242665,11.1,2308.0
825,listener,1744242666,0.0,2308.0
825,listener,1744242667,0.0,2308.0
825,listener,1744242668,0.0,2308.0
825,listener,1744242669,0.0,2308.0
825,listener,1744242671,0.0,2308.0
825,listener,1744242672,0.0,2308.0
825,listener,1744242673,0.0,2308.0
825,listener,1744242674,0.0,2308.0
825,listener,1744242675,0.0,2308.0
825,listener,1744242676,0.0,2308.0
825,listener,1744242677,0.0,2308.0
825,listener,1744242678,0.0,2308.0
825,listener,1744242679,0.0,2308.0
825,listener,1744242680,0.0,2308.0
825,listener,1744242681,0.0,2308.0
825,listener,1744242682,0.0,2308.0
825,listener,1744242683,0.0,2308.0
825,listener,1744242684,0.0,2308.0
825,listener,1744242685,0.0,2308.0
825,listener,1744242686,0.0,2308.0
825,listener,1744242687,0.0,2308.0
825,listener,1744242688,0.0,2308.0
825,listener,1744242689,0.0,2308.0
825,listener,1744242690,0.0,2308.0
825,listener,1744242691,0.0,2308.0
825,listener,1744242692,0.0,2308.0
825,listener,1744242693,0.0,2308.0
825,listener,1744242694,0.0,2308.0
825,listener,1744242695,0.0,2308.0
825,listener,1744242696,5.9,2308.0
825,listener,1744242697,11.8,2308.0
825,listener,1744242698,11.8,2308.0
825,listener,1744242699,11.8,2308.0
825,listener,1744242700,5.9,2308.0
825,listener,1744242701,0.0,2308.0
825,listener,1744242702,5.9,2308.0
825,listener,1744242704,0.0,2308.0
825,listener,1744242705,0.0,2308.0
825,listener,1744242706,0.0,2308.0
825,listener,1744242707,0.0,2308.0
825,listener,1744242708,0.0,2308.0
825,listener,1744242709,0.0,2308.0
825,listener,1744242710,0.0,2308.0
825,listener,1744242711,0.0,2308.0
825,listener,1744242712,0.0,2308.0
825,listener,1744242713,0.0,2308.0
825,listener,1744242714,0.0,2308.0
825,listener,1744242715,0.0,2308.0
825,listener,1744242716,0.0,2308.0
825,listener,1744242717,0.0,2308.0
825,listener,1744242718,0.0,2308.0
825,listener,1744242719,0.0,2308.0
825,listener,1744242720,0.0,2308.0
825,listener,1744242721,0.0,2308.0
825,listener,1744242722,0.0,2308.0
825,listener,1744242723,11.8,2308.0
825,listener,1744242724,23.5,2308.0
825,listener,1744242725,17.6,2308.0
825,listener,1744242726,11.8,2308.0
825,listener,1744242727,5.6,2308.0
825,listener,1744242728,5.9,2308.0
825,listener,1744242729,0.0,2308.0
825,listener,1744242730,0.0,2308.0
825,listener,1744242732,0.0,2308.0
825,listener,1744242732,0.0,2308.0
825,listener,1744242733,11.8,2308.0
825,listener,1744242734,5.9,2308.0
825,listener,1744242735,11.8,2308.0
825,listener,1744242736,11.8,2308.0
825,listener,1744242737,5.9,2308.0
825,listener,1744242738,5.9,2308.0
825,listener,1744242739,11.1,2308.0
825,listener,1744242740,0.0,2308.0
825,listener,1744242741,0.0,2308.0
825,listener,1744242742,0.0,2308.0
825,listener,1744242744,0.0,2308.0
825,listener,1744242744,0.0,2308.0
825,listener,1744242745,6.2,2308.0
825,listener,1744242746,11.8,2308.0
825,listener,1744242747,5.9,2308.0
825,listener,1744242748,11.8,2308.0
825,listener,1744242749,5.9,2308.0
825,listener,1744242750,5.9,2308.0
825,listener,1744242751,11.8,2308.0
825,listener,1744242752,5.9,2308.0
825,listener,1744242753,0.0,2308.0
825,listener,1744242754,0.0,2308.0
825,listener,1744242755,0.0,2308.0
825,listener,1744242757,0.0,2308.0
825,listener,1744242757,0.0,2308.0
825,listener,1744242758,0.0,2308.0
825,listener,1744242759,11.8,2308.0
825,listener,1744242760,5.9,2308.0
825,listener,1744242761,11.8,2308.0
825,listener,1744242762,11.8,2308.0
825,listener,1744242763,11.8,2308.0
825,listener,1744242764,11.1,2308.0
825,listener,1744242765,0.0,2308.0
825,listener,1744242766,0.0,2308.0
825,listener,1744242767,0.0,2308.0
825,listener,1744242769,0.0,2308.0
825,listener,1744242770,0.0,2308.0
825,listener,1744242770,0.0,2308.0
825,listener,1744242771,5.9,2308.0
825,listener,1744242772,17.6,2308.0
825,listener,1744242773,17.6,2308.0
825,listener,1744242774,0.0,2308.0
825,listener,1744242775,0.0,2308.0
825,listener,1744242776,0.0,2308.0
825,listener,1744242777,0.0,2308.0
825,listener,1744242778,0.0,2308.0
825,listener,1744242780,0.0,2308.0
825,listener,1744242781,0.0,2308.0
