timestamp,rx_bytes,tx_bytes,rx_rate_bps,tx_rate_bps
2025-03-20T22:28:45.414778,1454258217,412848172,1232.0,1232.0
2025-03-20T22:28:46.416571,1454258217,412848172,0.0,0.0
2025-03-20T22:28:47.418389,1454258217,412848172,0.0,0.0
2025-03-20T22:28:48.420231,1454259449,412849404,1232.0,1232.0
2025-03-20T22:28:49.422542,1454259449,412849404,0.0,0.0
2025-03-20T22:28:50.424618,1454259449,412849404,0.0,0.0
2025-03-20T22:28:51.426603,1454260681,412850636,1232.0,1232.0
2025-03-20T22:28:52.428476,1454260681,412850636,0.0,0.0
2025-03-20T22:28:53.429819,1454260681,412850636,0.0,0.0
2025-03-20T22:28:54.430860,1454261913,412851868,1232.0,1232.0
2025-03-20T22:28:55.431934,1454261913,412851868,0.0,0.0
2025-03-20T22:28:56.432916,1454261913,412851868,0.0,0.0
2025-03-20T22:28:57.434720,1454263145,412853100,1232.0,1232.0
2025-03-20T22:28:58.436557,1454263145,412853100,0.0,0.0
2025-03-20T22:28:59.438528,1454263145,412853100,0.0,0.0
2025-03-20T22:29:00.440727,1454264377,412854332,1232.0,1232.0
2025-03-20T22:29:01.441721,1454264377,412854332,0.0,0.0
2025-03-20T22:29:02.442772,1454264377,412854332,0.0,0.0
2025-03-20T22:29:03.444581,1454265609,412855564,1232.0,1232.0
2025-03-20T22:29:04.446390,1454265609,412855564,0.0,0.0
2025-03-20T22:29:05.447770,1454265609,412855564,0.0,0.0
2025-03-20T22:29:06.448795,1454266841,412856796,1232.0,1232.0
2025-03-20T22:29:07.450770,1454266841,412856796,0.0,0.0
2025-03-20T22:29:08.452959,1454266841,412856796,0.0,0.0
2025-03-20T22:29:09.455196,1454268073,412858028,1232.0,1232.0
2025-03-20T22:29:10.457421,1454268073,412858028,0.0,0.0
2025-03-20T22:29:11.458993,1454268073,412858028,0.0,0.0
2025-03-20T22:29:12.460976,1454269305,412859260,1232.0,1232.0
2025-03-20T22:29:13.463141,1454269305,412859260,0.0,0.0
2025-03-20T22:29:14.465188,1454269305,412859260,0.0,0.0
2025-03-20T22:29:15.466820,1454270537,412860492,1232.0,1232.0
2025-03-20T22:29:16.468822,1454270537,412860492,0.0,0.0
2025-03-20T22:29:17.471008,1454270537,412860492,0.0,0.0
2025-03-20T22:29:18.473238,1454271769,412861724,1232.0,1232.0
2025-03-20T22:29:19.475387,1454271769,412861724,0.0,0.0
2025-03-20T22:29:20.477232,1454271769,412861724,0.0,0.0
2025-03-20T22:29:21.478740,1454274917,412864872,3148.0,3148.0
2025-03-20T22:29:22.479711,1454274917,412864872,0.0,0.0
2025-03-20T22:29:23.480853,1454274917,412864872,0.0,0.0
